"from","to","weight","from_name","from_group","to_name","to_group","same_group","group","timestep"
"1","74",0.05,1,1,74,2,FALSE,0,1
"1","104",0.05,1,1,104,3,FALSE,0,1
"1","178",0.05,1,1,178,4,FALSE,0,1
"1","179",0.05,1,1,179,4,FALSE,0,1
"1","197",0.05,1,1,197,4,FALSE,0,1
"2","53",0.05,2,1,53,2,FALSE,0,1
"2","56",0.05,2,1,56,2,FALSE,0,1
"2","74",0.05,2,1,74,2,FALSE,0,1
"2","103",0.05,2,1,103,3,FALSE,0,1
"2","121",0.05,2,1,121,3,FALSE,0,1
"2","125",0.05,2,1,125,3,FALSE,0,1
"2","137",0.05,2,1,137,3,FALSE,0,1
"2","191",0.05,2,1,191,4,FALSE,0,1
"2","193",0.05,2,1,193,4,FALSE,0,1
"2","197",0.05,2,1,197,4,FALSE,0,1
"2","199",0.05,2,1,199,4,FALSE,0,1
"3","57",0.05,3,1,57,2,FALSE,0,1
"3","90",0.05,3,1,90,2,FALSE,0,1
"3","104",0.05,3,1,104,3,FALSE,0,1
"3","155",0.05,3,1,155,4,FALSE,0,1
"3","159",0.05,3,1,159,4,FALSE,0,1
"3","173",0.05,3,1,173,4,FALSE,0,1
"3","176",0.05,3,1,176,4,FALSE,0,1
"3","184",0.05,3,1,184,4,FALSE,0,1
"4","114",0.05,4,1,114,3,FALSE,0,1
"4","140",0.05,4,1,140,3,FALSE,0,1
"4","155",0.05,4,1,155,4,FALSE,0,1
"4","189",0.05,4,1,189,4,FALSE,0,1
"5","58",0.05,5,1,58,2,FALSE,0,1
"5","72",0.05,5,1,72,2,FALSE,0,1
"5","108",0.05,5,1,108,3,FALSE,0,1
"5","130",0.05,5,1,130,3,FALSE,0,1
"5","136",0.05,5,1,136,3,FALSE,0,1
"5","137",0.05,5,1,137,3,FALSE,0,1
"5","190",0.05,5,1,190,4,FALSE,0,1
"5","192",0.05,5,1,192,4,FALSE,0,1
"5","195",0.05,5,1,195,4,FALSE,0,1
"6","59",0.05,6,1,59,2,FALSE,0,1
"6","67",0.05,6,1,67,2,FALSE,0,1
"6","78",0.05,6,1,78,2,FALSE,0,1
"6","86",0.05,6,1,86,2,FALSE,0,1
"6","106",0.05,6,1,106,3,FALSE,0,1
"6","113",0.05,6,1,113,3,FALSE,0,1
"6","121",0.05,6,1,121,3,FALSE,0,1
"6","148",0.05,6,1,148,3,FALSE,0,1
"6","155",0.05,6,1,155,4,FALSE,0,1
"6","176",0.05,6,1,176,4,FALSE,0,1
"6","178",0.05,6,1,178,4,FALSE,0,1
"7","64",0.05,7,1,64,2,FALSE,0,1
"7","139",0.05,7,1,139,3,FALSE,0,1
"7","161",0.05,7,1,161,4,FALSE,0,1
"7","173",0.05,7,1,173,4,FALSE,0,1
"7","179",0.05,7,1,179,4,FALSE,0,1
"8","54",0.05,8,1,54,2,FALSE,0,1
"8","66",0.05,8,1,66,2,FALSE,0,1
"8","71",0.05,8,1,71,2,FALSE,0,1
"8","88",0.05,8,1,88,2,FALSE,0,1
"8","91",0.05,8,1,91,2,FALSE,0,1
"8","92",0.05,8,1,92,2,FALSE,0,1
"8","96",0.05,8,1,96,2,FALSE,0,1
"8","126",0.05,8,1,126,3,FALSE,0,1
"9","53",0.05,9,1,53,2,FALSE,0,1
"9","62",0.05,9,1,62,2,FALSE,0,1
"9","88",0.05,9,1,88,2,FALSE,0,1
"9","120",0.05,9,1,120,3,FALSE,0,1
"9","159",0.05,9,1,159,4,FALSE,0,1
"9","170",0.05,9,1,170,4,FALSE,0,1
"9","173",0.05,9,1,173,4,FALSE,0,1
"9","185",0.05,9,1,185,4,FALSE,0,1
"10","62",0.05,10,1,62,2,FALSE,0,1
"10","102",0.05,10,1,102,3,FALSE,0,1
"10","111",0.05,10,1,111,3,FALSE,0,1
"10","116",0.05,10,1,116,3,FALSE,0,1
"10","153",0.05,10,1,153,4,FALSE,0,1
"10","176",0.05,10,1,176,4,FALSE,0,1
"10","186",0.05,10,1,186,4,FALSE,0,1
"11","58",0.05,11,1,58,2,FALSE,0,1
"11","100",0.05,11,1,100,2,FALSE,0,1
"11","104",0.05,11,1,104,3,FALSE,0,1
"11","109",0.05,11,1,109,3,FALSE,0,1
"11","129",0.05,11,1,129,3,FALSE,0,1
"11","130",0.05,11,1,130,3,FALSE,0,1
"11","166",0.05,11,1,166,4,FALSE,0,1
"11","175",0.05,11,1,175,4,FALSE,0,1
"11","197",0.05,11,1,197,4,FALSE,0,1
"12","72",0.05,12,1,72,2,FALSE,0,1
"12","81",0.05,12,1,81,2,FALSE,0,1
"12","87",0.05,12,1,87,2,FALSE,0,1
"12","101",0.05,12,1,101,3,FALSE,0,1
"12","111",0.05,12,1,111,3,FALSE,0,1
"12","118",0.05,12,1,118,3,FALSE,0,1
"12","136",0.05,12,1,136,3,FALSE,0,1
"12","146",0.05,12,1,146,3,FALSE,0,1
"12","152",0.05,12,1,152,4,FALSE,0,1
"12","161",0.05,12,1,161,4,FALSE,0,1
"12","176",0.05,12,1,176,4,FALSE,0,1
"12","193",0.05,12,1,193,4,FALSE,0,1
"13","60",0.05,13,1,60,2,FALSE,0,1
"13","91",0.05,13,1,91,2,FALSE,0,1
"13","93",0.05,13,1,93,2,FALSE,0,1
"13","101",0.05,13,1,101,3,FALSE,0,1
"13","104",0.05,13,1,104,3,FALSE,0,1
"13","110",0.05,13,1,110,3,FALSE,0,1
"13","129",0.05,13,1,129,3,FALSE,0,1
"13","152",0.05,13,1,152,4,FALSE,0,1
"13","161",0.05,13,1,161,4,FALSE,0,1
"13","173",0.05,13,1,173,4,FALSE,0,1
"13","186",0.05,13,1,186,4,FALSE,0,1
"13","192",0.05,13,1,192,4,FALSE,0,1
"13","195",0.05,13,1,195,4,FALSE,0,1
"13","198",0.05,13,1,198,4,FALSE,0,1
"14","53",0.05,14,1,53,2,FALSE,0,1
"14","116",0.05,14,1,116,3,FALSE,0,1
"14","160",0.05,14,1,160,4,FALSE,0,1
"14","164",0.05,14,1,164,4,FALSE,0,1
"14","172",0.05,14,1,172,4,FALSE,0,1
"14","177",0.05,14,1,177,4,FALSE,0,1
"15","65",0.05,15,1,65,2,FALSE,0,1
"15","72",0.05,15,1,72,2,FALSE,0,1
"15","106",0.05,15,1,106,3,FALSE,0,1
"15","109",0.05,15,1,109,3,FALSE,0,1
"15","132",0.05,15,1,132,3,FALSE,0,1
"15","137",0.05,15,1,137,3,FALSE,0,1
"15","161",0.05,15,1,161,4,FALSE,0,1
"16","74",0.05,16,1,74,2,FALSE,0,1
"16","100",0.05,16,1,100,2,FALSE,0,1
"16","105",0.05,16,1,105,3,FALSE,0,1
"16","129",0.05,16,1,129,3,FALSE,0,1
"16","136",0.05,16,1,136,3,FALSE,0,1
"16","143",0.05,16,1,143,3,FALSE,0,1
"16","153",0.05,16,1,153,4,FALSE,0,1
"16","188",0.05,16,1,188,4,FALSE,0,1
"16","198",0.05,16,1,198,4,FALSE,0,1
"17","85",0.05,17,1,85,2,FALSE,0,1
"17","136",0.05,17,1,136,3,FALSE,0,1
"17","137",0.05,17,1,137,3,FALSE,0,1
"17","186",0.05,17,1,186,4,FALSE,0,1
"18","107",0.05,18,1,107,3,FALSE,0,1
"18","109",0.05,18,1,109,3,FALSE,0,1
"18","144",0.05,18,1,144,3,FALSE,0,1
"18","147",0.05,18,1,147,3,FALSE,0,1
"18","153",0.05,18,1,153,4,FALSE,0,1
"18","166",0.05,18,1,166,4,FALSE,0,1
"18","172",0.05,18,1,172,4,FALSE,0,1
"18","175",0.05,18,1,175,4,FALSE,0,1
"18","187",0.05,18,1,187,4,FALSE,0,1
"18","200",0.05,18,1,200,4,FALSE,0,1
"19","60",0.05,19,1,60,2,FALSE,0,1
"19","69",0.05,19,1,69,2,FALSE,0,1
"19","72",0.05,19,1,72,2,FALSE,0,1
"19","75",0.05,19,1,75,2,FALSE,0,1
"19","127",0.05,19,1,127,3,FALSE,0,1
"19","174",0.05,19,1,174,4,FALSE,0,1
"19","190",0.05,19,1,190,4,FALSE,0,1
"20","69",0.05,20,1,69,2,FALSE,0,1
"20","83",0.05,20,1,83,2,FALSE,0,1
"20","92",0.05,20,1,92,2,FALSE,0,1
"20","119",0.05,20,1,119,3,FALSE,0,1
"20","141",0.05,20,1,141,3,FALSE,0,1
"20","146",0.05,20,1,146,3,FALSE,0,1
"20","167",0.05,20,1,167,4,FALSE,0,1
"20","178",0.05,20,1,178,4,FALSE,0,1
"20","192",0.05,20,1,192,4,FALSE,0,1
"21","58",0.05,21,1,58,2,FALSE,0,1
"21","64",0.05,21,1,64,2,FALSE,0,1
"21","86",0.05,21,1,86,2,FALSE,0,1
"21","93",0.05,21,1,93,2,FALSE,0,1
"21","95",0.05,21,1,95,2,FALSE,0,1
"21","97",0.05,21,1,97,2,FALSE,0,1
"21","103",0.05,21,1,103,3,FALSE,0,1
"21","131",0.05,21,1,131,3,FALSE,0,1
"21","145",0.05,21,1,145,3,FALSE,0,1
"21","152",0.05,21,1,152,4,FALSE,0,1
"21","155",0.05,21,1,155,4,FALSE,0,1
"21","156",0.05,21,1,156,4,FALSE,0,1
"21","178",0.05,21,1,178,4,FALSE,0,1
"22","62",0.05,22,1,62,2,FALSE,0,1
"22","84",0.05,22,1,84,2,FALSE,0,1
"22","104",0.05,22,1,104,3,FALSE,0,1
"22","158",0.05,22,1,158,4,FALSE,0,1
"22","166",0.05,22,1,166,4,FALSE,0,1
"22","169",0.05,22,1,169,4,FALSE,0,1
"22","176",0.05,22,1,176,4,FALSE,0,1
"22","183",0.05,22,1,183,4,FALSE,0,1
"22","185",0.05,22,1,185,4,FALSE,0,1
"23","75",0.05,23,1,75,2,FALSE,0,1
"23","80",0.05,23,1,80,2,FALSE,0,1
"23","88",0.05,23,1,88,2,FALSE,0,1
"23","95",0.05,23,1,95,2,FALSE,0,1
"23","98",0.05,23,1,98,2,FALSE,0,1
"23","99",0.05,23,1,99,2,FALSE,0,1
"23","101",0.05,23,1,101,3,FALSE,0,1
"23","124",0.05,23,1,124,3,FALSE,0,1
"23","138",0.05,23,1,138,3,FALSE,0,1
"23","161",0.05,23,1,161,4,FALSE,0,1
"23","168",0.05,23,1,168,4,FALSE,0,1
"23","193",0.05,23,1,193,4,FALSE,0,1
"24","88",0.05,24,1,88,2,FALSE,0,1
"24","95",0.05,24,1,95,2,FALSE,0,1
"24","119",0.05,24,1,119,3,FALSE,0,1
"25","51",0.05,25,1,51,2,FALSE,0,1
"25","131",0.05,25,1,131,3,FALSE,0,1
"25","139",0.05,25,1,139,3,FALSE,0,1
"25","144",0.05,25,1,144,3,FALSE,0,1
"25","179",0.05,25,1,179,4,FALSE,0,1
"25","180",0.05,25,1,180,4,FALSE,0,1
"26","81",0.05,26,1,81,2,FALSE,0,1
"26","129",0.05,26,1,129,3,FALSE,0,1
"26","138",0.05,26,1,138,3,FALSE,0,1
"26","176",0.05,26,1,176,4,FALSE,0,1
"26","192",0.05,26,1,192,4,FALSE,0,1
"26","194",0.05,26,1,194,4,FALSE,0,1
"27","56",0.05,27,1,56,2,FALSE,0,1
"27","65",0.05,27,1,65,2,FALSE,0,1
"27","100",0.05,27,1,100,2,FALSE,0,1
"27","102",0.05,27,1,102,3,FALSE,0,1
"27","131",0.05,27,1,131,3,FALSE,0,1
"27","161",0.05,27,1,161,4,FALSE,0,1
"27","178",0.05,27,1,178,4,FALSE,0,1
"27","192",0.05,27,1,192,4,FALSE,0,1
"28","57",0.05,28,1,57,2,FALSE,0,1
"28","61",0.05,28,1,61,2,FALSE,0,1
"28","72",0.05,28,1,72,2,FALSE,0,1
"28","81",0.05,28,1,81,2,FALSE,0,1
"28","119",0.05,28,1,119,3,FALSE,0,1
"28","124",0.05,28,1,124,3,FALSE,0,1
"28","131",0.05,28,1,131,3,FALSE,0,1
"28","156",0.05,28,1,156,4,FALSE,0,1
"28","162",0.05,28,1,162,4,FALSE,0,1
"28","171",0.05,28,1,171,4,FALSE,0,1
"28","177",0.05,28,1,177,4,FALSE,0,1
"29","66",0.05,29,1,66,2,FALSE,0,1
"29","76",0.05,29,1,76,2,FALSE,0,1
"29","87",0.05,29,1,87,2,FALSE,0,1
"29","92",0.05,29,1,92,2,FALSE,0,1
"29","114",0.05,29,1,114,3,FALSE,0,1
"29","138",0.05,29,1,138,3,FALSE,0,1
"29","146",0.05,29,1,146,3,FALSE,0,1
"29","148",0.05,29,1,148,3,FALSE,0,1
"29","166",0.05,29,1,166,4,FALSE,0,1
"29","170",0.05,29,1,170,4,FALSE,0,1
"29","184",0.05,29,1,184,4,FALSE,0,1
"30","51",0.05,30,1,51,2,FALSE,0,1
"30","61",0.05,30,1,61,2,FALSE,0,1
"30","144",0.05,30,1,144,3,FALSE,0,1
"30","195",0.05,30,1,195,4,FALSE,0,1
"30","199",0.05,30,1,199,4,FALSE,0,1
"31","55",0.05,31,1,55,2,FALSE,0,1
"31","84",0.05,31,1,84,2,FALSE,0,1
"31","123",0.05,31,1,123,3,FALSE,0,1
"31","125",0.05,31,1,125,3,FALSE,0,1
"31","131",0.05,31,1,131,3,FALSE,0,1
"31","133",0.05,31,1,133,3,FALSE,0,1
"32","87",0.05,32,1,87,2,FALSE,0,1
"32","118",0.05,32,1,118,3,FALSE,0,1
"32","127",0.05,32,1,127,3,FALSE,0,1
"32","130",0.05,32,1,130,3,FALSE,0,1
"32","133",0.05,32,1,133,3,FALSE,0,1
"32","141",0.05,32,1,141,3,FALSE,0,1
"32","166",0.05,32,1,166,4,FALSE,0,1
"32","169",0.05,32,1,169,4,FALSE,0,1
"32","173",0.05,32,1,173,4,FALSE,0,1
"32","186",0.05,32,1,186,4,FALSE,0,1
"33","100",0.05,33,1,100,2,FALSE,0,1
"33","116",0.05,33,1,116,3,FALSE,0,1
"33","129",0.05,33,1,129,3,FALSE,0,1
"33","196",0.05,33,1,196,4,FALSE,0,1
"34","152",0.05,34,1,152,4,FALSE,0,1
"34","178",0.05,34,1,178,4,FALSE,0,1
"34","179",0.05,34,1,179,4,FALSE,0,1
"34","181",0.05,34,1,181,4,FALSE,0,1
"34","182",0.05,34,1,182,4,FALSE,0,1
"34","199",0.05,34,1,199,4,FALSE,0,1
"35","51",0.05,35,1,51,2,FALSE,0,1
"35","66",0.05,35,1,66,2,FALSE,0,1
"35","79",0.05,35,1,79,2,FALSE,0,1
"35","96",0.05,35,1,96,2,FALSE,0,1
"36","53",0.05,36,1,53,2,FALSE,0,1
"36","98",0.05,36,1,98,2,FALSE,0,1
"36","155",0.05,36,1,155,4,FALSE,0,1
"36","156",0.05,36,1,156,4,FALSE,0,1
"36","163",0.05,36,1,163,4,FALSE,0,1
"36","174",0.05,36,1,174,4,FALSE,0,1
"36","181",0.05,36,1,181,4,FALSE,0,1
"36","193",0.05,36,1,193,4,FALSE,0,1
"37","56",0.05,37,1,56,2,FALSE,0,1
"37","58",0.05,37,1,58,2,FALSE,0,1
"37","63",0.05,37,1,63,2,FALSE,0,1
"37","72",0.05,37,1,72,2,FALSE,0,1
"37","76",0.05,37,1,76,2,FALSE,0,1
"37","138",0.05,37,1,138,3,FALSE,0,1
"37","170",0.05,37,1,170,4,FALSE,0,1
"37","174",0.05,37,1,174,4,FALSE,0,1
"37","177",0.05,37,1,177,4,FALSE,0,1
"37","192",0.05,37,1,192,4,FALSE,0,1
"38","63",0.05,38,1,63,2,FALSE,0,1
"38","75",0.05,38,1,75,2,FALSE,0,1
"38","111",0.05,38,1,111,3,FALSE,0,1
"38","130",0.05,38,1,130,3,FALSE,0,1
"38","179",0.05,38,1,179,4,FALSE,0,1
"39","60",0.05,39,1,60,2,FALSE,0,1
"39","69",0.05,39,1,69,2,FALSE,0,1
"39","107",0.05,39,1,107,3,FALSE,0,1
"39","147",0.05,39,1,147,3,FALSE,0,1
"39","167",0.05,39,1,167,4,FALSE,0,1
"39","168",0.05,39,1,168,4,FALSE,0,1
"39","190",0.05,39,1,190,4,FALSE,0,1
"40","51",0.05,40,1,51,2,FALSE,0,1
"40","52",0.05,40,1,52,2,FALSE,0,1
"40","71",0.05,40,1,71,2,FALSE,0,1
"40","118",0.05,40,1,118,3,FALSE,0,1
"40","131",0.05,40,1,131,3,FALSE,0,1
"40","160",0.05,40,1,160,4,FALSE,0,1
"40","164",0.05,40,1,164,4,FALSE,0,1
"40","174",0.05,40,1,174,4,FALSE,0,1
"41","71",0.05,41,1,71,2,FALSE,0,1
"41","73",0.05,41,1,73,2,FALSE,0,1
"41","156",0.05,41,1,156,4,FALSE,0,1
"42","65",0.05,42,1,65,2,FALSE,0,1
"42","97",0.05,42,1,97,2,FALSE,0,1
"42","130",0.05,42,1,130,3,FALSE,0,1
"42","137",0.05,42,1,137,3,FALSE,0,1
"42","159",0.05,42,1,159,4,FALSE,0,1
"42","170",0.05,42,1,170,4,FALSE,0,1
"42","198",0.05,42,1,198,4,FALSE,0,1
"43","66",0.05,43,1,66,2,FALSE,0,1
"43","71",0.05,43,1,71,2,FALSE,0,1
"43","181",0.05,43,1,181,4,FALSE,0,1
"44","60",0.05,44,1,60,2,FALSE,0,1
"44","74",0.05,44,1,74,2,FALSE,0,1
"44","93",0.05,44,1,93,2,FALSE,0,1
"44","121",0.05,44,1,121,3,FALSE,0,1
"44","149",0.05,44,1,149,3,FALSE,0,1
"44","155",0.05,44,1,155,4,FALSE,0,1
"44","178",0.05,44,1,178,4,FALSE,0,1
"44","183",0.05,44,1,183,4,FALSE,0,1
"45","60",0.05,45,1,60,2,FALSE,0,1
"45","67",0.05,45,1,67,2,FALSE,0,1
"45","93",0.05,45,1,93,2,FALSE,0,1
"45","138",0.05,45,1,138,3,FALSE,0,1
"45","163",0.05,45,1,163,4,FALSE,0,1
