"name","group","timestep","com"
"1",1,1,1
"2",1,1,1
"3",1,1,1
"4",1,1,1
"5",1,1,1
"6",1,1,1
"7",1,1,1
"8",1,1,1
"9",1,1,1
"10",1,1,1
"11",1,1,1
"12",1,1,1
"13",1,1,1
"14",1,1,1
"15",1,1,1
"16",1,1,1
"17",1,1,1
"18",1,1,1
"19",1,1,1
"20",1,1,1
"21",1,1,1
"22",1,1,1
"23",1,1,1
"24",1,1,1
"25",1,1,1
"26",1,1,1
"27",1,1,1
"28",1,1,1
"29",1,1,1
"30",1,1,1
"31",1,1,1
"32",1,1,1
"33",1,1,1
"34",1,1,1
"35",1,1,1
"36",1,1,1
"37",1,1,1
"38",1,1,1
"39",1,1,1
"40",1,1,1
"41",1,1,1
"42",1,1,1
"43",1,1,1
"44",1,1,1
"45",1,1,1
"46",1,1,1
"47",1,1,1
"48",1,1,1
"49",1,1,1
"50",1,1,1
"51",2,1,2
"52",2,1,2
"53",2,1,2
"54",2,1,2
"55",2,1,2
"56",2,1,2
"57",2,1,2
"58",2,1,2
"59",2,1,2
"60",2,1,2
"61",2,1,2
"62",2,1,2
"63",2,1,2
"64",2,1,2
"65",2,1,2
"66",2,1,2
"67",2,1,2
"68",2,1,2
"69",2,1,2
"70",2,1,2
"71",2,1,2
"72",2,1,2
"73",2,1,2
"74",2,1,2
"75",2,1,2
"76",2,1,2
"77",2,1,2
"78",2,1,2
"79",2,1,2
"80",2,1,2
"81",2,1,2
"82",2,1,2
"83",2,1,2
"84",2,1,2
"85",2,1,2
"86",2,1,2
"87",2,1,2
"88",2,1,2
"89",2,1,2
"90",2,1,2
"91",2,1,2
"92",2,1,2
"93",2,1,2
"94",2,1,2
"95",2,1,2
"96",2,1,2
"97",2,1,2
"98",2,1,2
"99",2,1,2
"100",2,1,2
"101",3,1,3
"102",3,1,3
"103",3,1,3
"104",3,1,3
"105",3,1,3
"106",3,1,3
"107",3,1,3
"108",3,1,3
"109",3,1,3
"110",3,1,3
"111",3,1,3
"112",3,1,3
"113",3,1,3
"114",3,1,3
"115",3,1,3
"116",3,1,3
"117",3,1,3
"118",3,1,3
"119",3,1,3
"120",3,1,3
"121",3,1,3
"122",3,1,3
"123",3,1,3
"124",3,1,3
"125",3,1,3
"126",3,1,3
"127",3,1,3
"128",3,1,3
"129",3,1,3
"130",3,1,3
"131",3,1,3
"132",3,1,3
"133",3,1,3
"134",3,1,3
"135",3,1,3
"136",3,1,3
"137",3,1,3
"138",3,1,3
"139",3,1,3
"140",3,1,3
"141",3,1,3
"142",3,1,3
"143",3,1,3
"144",3,1,3
"145",3,1,3
"146",3,1,3
"147",3,1,3
"148",3,1,3
"149",3,1,3
"150",3,1,3
"151",4,1,4
"152",4,1,4
"153",4,1,4
"154",4,1,4
"155",4,1,4
"156",4,1,4
"157",4,1,4
"158",4,1,4
"159",4,1,4
"160",4,1,4
"161",4,1,4
"162",4,1,4
"163",4,1,4
"164",4,1,4
"165",4,1,4
"166",4,1,4
"167",4,1,4
"168",4,1,4
"169",4,1,4
"170",4,1,4
"171",4,1,4
"172",4,1,4
"173",4,1,4
"174",4,1,4
"175",4,1,4
"176",4,1,4
"177",4,1,4
"178",4,1,4
"179",4,1,4
"180",4,1,4
"181",4,1,4
"182",4,1,4
"183",4,1,4
"184",4,1,4
"185",4,1,4
"186",4,1,4
"187",4,1,4
"188",4,1,4
"189",4,1,4
"190",4,1,4
"191",4,1,4
"192",4,1,4
"193",4,1,4
"194",4,1,4
"195",4,1,4
"196",4,1,4
"197",4,1,4
"198",4,1,4
"199",4,1,4
"200",4,1,4
"1",1,2,1
"2",1,2,1
"3",1,2,1
"4",1,2,1
"5",1,2,1
"6",1,2,1
"7",1,2,1
"8",1,2,1
"9",1,2,1
"10",1,2,1
"11",1,2,1
"12",1,2,1
"13",1,2,1
"14",1,2,1
"15",1,2,1
"16",1,2,1
"17",1,2,1
"18",1,2,1
"19",1,2,1
"20",1,2,1
"21",1,2,1
"22",1,2,1
"23",1,2,1
"24",1,2,1
"25",1,2,1
"26",1,2,1
"27",1,2,1
"28",1,2,1
"29",1,2,1
"30",1,2,1
"31",1,2,1
